timestamp_sec,heart_rate_bpm,systolic_bp,diastolic_bp,spo2_pct,rhythm_state
0,132,94,62,94,SINUS_TACHYCARDIA
1,135,92,60,93,SINUS_TACHYCARDIA
2,138,90,58,92,SINUS_TACHYCARDIA
3,142,88,56,92,SINUS_TACHYCARDIA
4,146,84,54,91,SINUS_TACHYCARDIA
5,152,82,52,90,SINUS_TACHYCARDIA
6,160,78,50,89,VENTRICULAR_TACHYCARDIA
7,165,74,48,87,VENTRICULAR_TACHYCARDIA
8,172,70,44,85,VENTRICULAR_TACHYCARDIA
9,180,62,40,82,VENTRICULAR_TACHYCARDIA
10,0,0,0,74,ASYSTOLE_CARDIAC_ARREST
11,0,0,0,70,ASYSTOLE_CARDIAC_ARREST
12,0,0,0,66,ASYSTOLE_CARDIAC_ARREST
13,0,0,0,62,ASYSTOLE_CARDIAC_ARREST
14,0,0,0,58,ASYSTOLE_CARDIAC_ARREST
15,0,0,0,55,ASYSTOLE_CARDIAC_ARREST
